objectid,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,landslide_category,landslide_trigger,storm_name,comments,method,image_type,sat_date_before,sat_date_after,country_name,country_code,citation,latitude,longitude
2971,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26550,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,2023-04-20,"2023-05-13, 2023-05-15",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.7425190439999483,29.30924457100008
5334,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26445,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.0099893399999473,29.38256117000003
5586,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26479,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.0167789209999682,29.363563482000075
5687,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26502,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-04-03, 2023-04-27",2023-05-08,Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.104716388999975,29.328585351000072
5833,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26441,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.022724703999927,29.39872041500007
6486,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26450,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.012273519999951,29.38892632200003
6625,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26412,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.9714775869999244,29.359409672000027
6664,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26531,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,2023-04-20,"2023-05-13, 2023-05-15",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.7203214759999241,29.293231926000033
6858,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26402,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.9811317149999468,29.364457524000045
6862,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26409,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.9769922819999692,29.35398331500005
